model,level,run_id,task,n,f1_macro,accuracy,f1_weighted,precision_w,recall_w,kappa,kappa_interp,parse_rate
openai,L3,9,theme,113,0.5961,0.7345,0.7341,0.7989,0.7345,0.6616,Substantial,1.0
openai,L3,10,code,113,0.5752,0.5487,0.5986,0.7751,0.5487,0.5334,Moderate,1.0
openai,L3,10,theme,113,0.6195,0.7611,0.7593,0.8213,0.7611,0.6958,Substantial,1.0
openai,L4,1,code,113,0.5634,0.5398,0.5798,0.7823,0.5398,0.5243,Moderate,1.0
openai,L4,1,theme,113,0.7154,0.7345,0.7304,0.7929,0.7345,0.6621,Substantial,1.0
openai,L4,2,code,113,0.5755,0.5664,0.6066,0.7583,0.5664,0.5508,Moderate,1.0
openai,L4,2,theme,113,0.5939,0.7434,0.7405,0.8016,0.7434,0.6741,Substantial,1.0
openai,L4,3,code,113,0.5698,0.5487,0.5931,0.7792,0.5487,0.533,Moderate,1.0
openai,L4,3,theme,113,0.7257,0.7345,0.7355,0.7875,0.7345,0.662,Substantial,1.0
openai,L4,4,code,113,0.5398,0.5487,0.5937,0.7779,0.5487,0.533,Moderate,1.0
openai,L4,4,theme,113,0.7496,0.7611,0.7596,0.8099,0.7611,0.6958,Substantial,1.0
openai,L4,5,code,113,0.5768,0.5575,0.6032,0.7609,0.5575,0.542,Moderate,1.0
openai,L4,5,theme,113,0.7299,0.7522,0.7497,0.8066,0.7522,0.6849,Substantial,1.0
openai,L4,6,code,113,0.535,0.5487,0.5818,0.7733,0.5487,0.5326,Moderate,1.0
openai,L4,6,theme,113,0.722,0.7345,0.7327,0.7892,0.7345,0.6618,Substantial,1.0
openai,L4,7,code,113,0.5764,0.5575,0.6027,0.783,0.5575,0.5421,Moderate,1.0
openai,L4,7,theme,113,0.5942,0.7434,0.7409,0.8025,0.7434,0.6741,Substantial,1.0
openai,L4,8,code,113,0.6031,0.5575,0.6031,0.793,0.5575,0.5422,Moderate,1.0
openai,L4,8,theme,113,0.7226,0.7345,0.7336,0.7908,0.7345,0.6618,Substantial,1.0
openai,L4,9,code,113,0.5607,0.5664,0.6091,0.7566,0.5664,0.5506,Moderate,1.0
openai,L4,9,theme,113,0.7561,0.7788,0.7773,0.8233,0.7788,0.7196,Substantial,1.0
openai,L4,10,code,113,0.5962,0.5575,0.5948,0.7585,0.5575,0.5414,Moderate,1.0
openai,L4,10,theme,113,0.7282,0.7434,0.7398,0.7958,0.7434,0.6742,Substantial,1.0
openai,L5,1,code,113,0.5363,0.5487,0.5855,0.7703,0.5487,0.5329,Moderate,1.0
openai,L5,1,theme,113,0.7466,0.7699,0.7626,0.8197,0.7699,0.7075,Substantial,1.0
openai,L5,2,code,113,0.5355,0.5398,0.5731,0.7481,0.5398,0.5233,Moderate,1.0
openai,L5,2,theme,113,0.7302,0.7522,0.745,0.7984,0.7522,0.6859,Substantial,1.0
openai,L5,3,code,113,0.5384,0.5487,0.5945,0.7542,0.5487,0.5329,Moderate,1.0
openai,L5,3,theme,113,0.5933,0.7434,0.7367,0.8055,0.7434,0.6733,Substantial,1.0
openai,L5,4,code,113,0.5768,0.5664,0.607,0.782,0.5664,0.5508,Moderate,1.0
openai,L5,4,theme,113,0.6015,0.7522,0.7462,0.8083,0.7522,0.686,Substantial,1.0
openai,L5,5,code,113,0.5289,0.531,0.5707,0.7263,0.531,0.5146,Moderate,1.0
openai,L5,5,theme,113,0.7413,0.7611,0.7545,0.8116,0.7611,0.6962,Substantial,1.0
openai,L5,6,code,113,0.5341,0.5487,0.5814,0.727,0.5487,0.5322,Moderate,1.0
openai,L5,6,theme,113,0.7502,0.7699,0.7651,0.8159,0.7699,0.7077,Substantial,1.0
openai,L5,7,code,113,0.5495,0.5575,0.6065,0.778,0.5575,0.5421,Moderate,1.0
openai,L5,7,theme,113,0.7693,0.7965,0.7917,0.8369,0.7965,0.7417,Substantial,1.0
openai,L5,8,code,113,0.5747,0.5575,0.5952,0.7367,0.5575,0.5412,Moderate,1.0
openai,L5,8,theme,113,0.607,0.7611,0.7537,0.811,0.7611,0.697,Substantial,1.0
openai,L5,9,code,113,0.5583,0.5841,0.6254,0.7868,0.5841,0.5687,Moderate,1.0
openai,L5,9,theme,113,0.7448,0.7611,0.7569,0.808,0.7611,0.6965,Substantial,1.0
openai,L5,10,code,113,0.5411,0.5487,0.5822,0.7294,0.5487,0.5325,Moderate,1.0
openai,L5,10,theme,113,0.7407,0.7611,0.7578,0.8097,0.7611,0.6959,Substantial,1.0
