model,level,run_id,task,n,f1_macro,accuracy,f1_weighted,precision_w,recall_w,kappa,kappa_interp,parse_rate
claude,L3,10,theme,113,0.8331,0.8673,0.8662,0.8709,0.8673,0.8323,Almost Perfect,1.0
claude,L4,1,code,113,0.7882,0.8053,0.8056,0.8345,0.8053,0.796,Substantial,1.0
claude,L4,1,theme,113,0.8631,0.8673,0.8682,0.8747,0.8673,0.833,Almost Perfect,1.0
claude,L4,2,code,113,0.7938,0.8142,0.8147,0.8434,0.8142,0.8052,Almost Perfect,1.0
claude,L4,2,theme,113,0.8702,0.8761,0.8772,0.882,0.8761,0.8443,Almost Perfect,1.0
claude,L4,3,code,113,0.8055,0.8053,0.8071,0.8459,0.8053,0.7961,Substantial,1.0
claude,L4,3,theme,113,0.8561,0.8761,0.8763,0.8827,0.8761,0.8442,Almost Perfect,1.0
claude,L4,4,code,113,0.7876,0.8053,0.8057,0.8365,0.8053,0.7959,Substantial,1.0
claude,L4,4,theme,113,0.8702,0.8761,0.8772,0.882,0.8761,0.8443,Almost Perfect,1.0
claude,L4,5,code,113,0.774,0.7876,0.7864,0.8202,0.7876,0.7774,Substantial,1.0
claude,L4,5,theme,113,0.8386,0.8584,0.8588,0.8661,0.8584,0.8215,Almost Perfect,1.0
claude,L4,6,code,113,0.7859,0.8053,0.8045,0.836,0.8053,0.7959,Substantial,1.0
claude,L4,6,theme,113,0.8525,0.8761,0.8763,0.8798,0.8761,0.844,Almost Perfect,1.0
claude,L4,7,code,113,0.7859,0.8053,0.8045,0.836,0.8053,0.7959,Substantial,1.0
claude,L4,7,theme,113,0.8525,0.8761,0.8763,0.8798,0.8761,0.844,Almost Perfect,1.0
claude,L4,8,code,113,0.7372,0.7876,0.792,0.8316,0.7876,0.7774,Substantial,1.0
claude,L4,8,theme,113,0.8525,0.8761,0.8763,0.8798,0.8761,0.844,Almost Perfect,1.0
claude,L4,9,code,113,0.7708,0.7876,0.7875,0.8276,0.7876,0.7774,Substantial,1.0
claude,L4,9,theme,113,0.8525,0.8761,0.8763,0.8798,0.8761,0.844,Almost Perfect,1.0
claude,L4,10,code,113,0.7811,0.7965,0.7959,0.8332,0.7965,0.7866,Substantial,1.0
claude,L4,10,theme,113,0.8525,0.8761,0.8763,0.8798,0.8761,0.844,Almost Perfect,1.0
claude,L5,1,code,113,0.7454,0.7965,0.8028,0.8316,0.7965,0.7866,Substantial,1.0
claude,L5,1,theme,113,0.8703,0.885,0.8853,0.8864,0.885,0.8554,Almost Perfect,1.0
claude,L5,2,code,113,0.7382,0.7876,0.7946,0.8268,0.7876,0.7774,Substantial,1.0
claude,L5,2,theme,113,0.8647,0.8761,0.8766,0.878,0.8761,0.8442,Almost Perfect,1.0
claude,L5,3,code,113,0.7454,0.7965,0.8028,0.8316,0.7965,0.7866,Substantial,1.0
claude,L5,3,theme,113,0.8703,0.885,0.8853,0.8864,0.885,0.8554,Almost Perfect,1.0
claude,L5,4,code,113,0.7382,0.7876,0.7946,0.8268,0.7876,0.7774,Substantial,1.0
claude,L5,4,theme,113,0.8647,0.8761,0.8766,0.878,0.8761,0.8442,Almost Perfect,1.0
claude,L5,5,code,113,0.7382,0.7876,0.7946,0.8268,0.7876,0.7774,Substantial,1.0
claude,L5,5,theme,113,0.8647,0.8761,0.8766,0.878,0.8761,0.8442,Almost Perfect,1.0
claude,L5,6,code,113,0.7454,0.7965,0.8028,0.8316,0.7965,0.7866,Substantial,1.0
claude,L5,6,theme,113,0.8703,0.885,0.8853,0.8864,0.885,0.8554,Almost Perfect,1.0
claude,L5,7,code,113,0.7382,0.7876,0.7946,0.8268,0.7876,0.7774,Substantial,1.0
claude,L5,7,theme,113,0.8647,0.8761,0.8766,0.878,0.8761,0.8442,Almost Perfect,1.0
claude,L5,8,code,113,0.7382,0.7876,0.7946,0.8268,0.7876,0.7774,Substantial,1.0
claude,L5,8,theme,113,0.8647,0.8761,0.8766,0.878,0.8761,0.8442,Almost Perfect,1.0
claude,L5,9,code,113,0.7454,0.7965,0.8028,0.8316,0.7965,0.7866,Substantial,1.0
claude,L5,9,theme,113,0.8703,0.885,0.8853,0.8864,0.885,0.8554,Almost Perfect,1.0
claude,L5,10,code,113,0.7454,0.7965,0.8028,0.8316,0.7965,0.7866,Substantial,1.0
claude,L5,10,theme,113,0.8703,0.885,0.8853,0.8864,0.885,0.8554,Almost Perfect,1.0
deepseek,L1,1,code,113,0.7675,0.7788,0.7753,0.853,0.7788,0.7679,Substantial,1.0
deepseek,L1,1,theme,113,0.8893,0.8938,0.8942,0.8971,0.8938,0.867,Almost Perfect,1.0
deepseek,L1,2,code,113,0.7675,0.7788,0.7753,0.853,0.7788,0.7679,Substantial,1.0
deepseek,L1,2,theme,113,0.8893,0.8938,0.8942,0.8971,0.8938,0.867,Almost Perfect,1.0
deepseek,L1,3,code,113,0.7675,0.7788,0.7753,0.853,0.7788,0.7679,Substantial,1.0
deepseek,L1,3,theme,113,0.8893,0.8938,0.8942,0.8971,0.8938,0.867,Almost Perfect,1.0
deepseek,L1,4,code,113,0.7675,0.7788,0.7753,0.853,0.7788,0.7679,Substantial,1.0
deepseek,L1,4,theme,113,0.8893,0.8938,0.8942,0.8971,0.8938,0.867,Almost Perfect,1.0
deepseek,L1,5,code,113,0.7675,0.7788,0.7753,0.853,0.7788,0.7679,Substantial,1.0
deepseek,L1,5,theme,113,0.8893,0.8938,0.8942,0.8971,0.8938,0.867,Almost Perfect,1.0
deepseek,L1,6,code,113,0.7675,0.7788,0.7753,0.853,0.7788,0.7679,Substantial,1.0
deepseek,L1,6,theme,113,0.8893,0.8938,0.8942,0.8971,0.8938,0.867,Almost Perfect,1.0
deepseek,L1,7,code,113,0.7675,0.7788,0.7753,0.853,0.7788,0.7679,Substantial,1.0
deepseek,L1,7,theme,113,0.8893,0.8938,0.8942,0.8971,0.8938,0.867,Almost Perfect,1.0
deepseek,L1,8,code,113,0.7675,0.7788,0.7753,0.853,0.7788,0.7679,Substantial,1.0
deepseek,L1,8,theme,113,0.8893,0.8938,0.8942,0.8971,0.8938,0.867,Almost Perfect,1.0
